,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,region
319,2018-01-31,48.0,18.6635,2.5718648699333,9.0909090909091,-51.290438069445,-18.832862760434,-27.575555757634,-16.789580586134,5.8103090833135,-19.394158241069,MEX
320,2017-07-31,49.0,17.79075,2.7542402653064,9.2452830188679,-48.033202541388,-15.637758976234,-16.903691429663,-1.9891672100828,14.594499946712,-6.7107874640068,MEX
321,2017-01-31,49.0,21.9505,2.2322953919045,9.6837944664032,-55.883490278567,-27.26300779854,-25.892276992162,-11.273892212043,-9.1604296314006,-22.226191361512,MEX
322,2016-07-31,44.0,18.535,2.3738872403561,8.7301587301587,-52.899062691348,-23.148429331559,-24.406062678632,-11.484429279929,-9.8285614932937,-15.942701168297,MEX
323,2016-01-31,49.0,17.43675,2.8101567092491,9.9391480730223,-42.998849710971,-9.3040865882961,-1.8832912121311,-1.8916371970948,21.19876581601,0.15056695514892,MEX
324,2015-07-31,49.0,15.73975,3.1131371209835,10.229645093946,-35.007575762349,-0.75978257538551,3.8255571987934,-2.0647773367801,36.355119143142,9.4383088614712,MEX
325,2015-01-31,49.0,14.6275,3.3498547256879,10.229645093946,-30.065663346808,9.126710047009,7.6671281887043,5.8325951926915,45.867877702473,15.065593131908,MEX
326,2014-07-31,42.0,12.93255,3.2476193790088,8.7591240875912,-32.270711595229,5.476561762399,-10.917505235392,-8.5388738482029,32.600248208165,12.674755470608,MEX
327,2014-01-31,37.0,13.33275,2.7751214115618,8.0014417012074,-39.986561653017,-5.0099632110663,-18.467110352748,-13.776567341289,44.206854382749,-6.1397483671478,MEX
328,2013-07-31,37.0,12.94115,2.8590967572434,8.1199707388442,-37.254643220702,-4.1707226159992,-13.224220352224,-0.7259834149099,33.56404908877,2.4535790118941,MEX
329,2013-01-31,37.0,12.7384,2.9046034038812,8.471867770172,-33.493470371695,1.218449026791,-16.044137804234,-4.8355207673589,23.023407482637,5.6233222053587,MEX
330,2012-07-31,37.0,13.687,2.7032950975378,8.5499711149624,-37.532175677925,-3.8631431111371,-13.429011487745,-10.410033345557,-2.5205684182779,2.1770059695608,MEX
331,2012-01-31,37.0,13.6844,2.7038087164947,8.81535873745,-35.580962720689,1.7000032383377,-13.33783028102,-0.46988642463593,-1.8450366602284,2.0630441100513,MEX
332,2011-07-31,32.0,11.67075,2.7418974787396,7.8720787207872,-32.548647509481,13.052568290514,-17.060777937785,3.9903378309829,7.1698795771719,9.4167809358858,MEX
333,2010-07-31,32.0,12.782,2.5035205758097,8.5714285714286,-32.941413147954,,,,,,MEX
334,2010-01-31,32.0,12.81375,2.4973173348942,8.9385474860335,-30.242532544856,,,,,,MEX
335,2009-07-31,33.0,13.8104,2.3895035625326,9.2436974789916,-33.067127099928,,,,,,MEX
336,2008-06-30,32.0,10.1685,3.1469734965826,8.9635854341737,-11.849481888443,,,,,,MEX
337,2007-06-30,29.0,10.76755,2.693277486522,8.5043988269795,-21.018255527214,,,,,,MEX
338,2007-01-31,29.0,10.8894,2.6631403015777,9.0062111801242,-17.293779454109,,,,,,MEX
339,2006-05-31,29.0,11.3031,2.5656678256408,9.3548387096774,-17.236521753524,,,,,,MEX
340,2006-01-31,28.0,10.5425,2.6559165283377,8.8888888888889,-15.685189576582,,,,,,MEX
341,2005-06-30,28.0,10.8675,2.5764895330113,9.1503267973856,-15.800995653226,,,,,,MEX
342,2004-05-31,24.0,11.6,2.08,8.2758620689655,-28.656361474435,,,,,,MEX
343,2003-04-30,23.0,10.53,2.14,8.4870848708487,-19.400903410744,,,,,,MEX
344,2002-04-30,21.9,9.28,2.37,8.7951807228916,-5.2243456584961,,,,,,MEX
345,2001-04-30,21.9,9.29,2.36,8.6220472440945,-7.1900189010281,,,,,,MEX
346,2000-04-30,20.9,9.41,2.22,8.3266932270916,-11.512293017092,,,,,,MEX
347,2022-07-31,700.0,221.75,3.15670800450958,135.92233009708724,-38.705,-17.452,-20.756,-12.059,43.269000000000005,-4.281,PAK
348,2022-01-31,590.0,176.52,3.34239746204396,101.54905335628226,-42.472,1.825,-1.625,3.0700000000000003,46.298,-2.798,PAK
349,2021-07-31,580.0,161.1,3.60024829298572,102.65486725663706,-36.279,16.508,6.703,15.329,54.082,16.948,PAK
350,2021-01-31,550.0,160.35,3.42999688182102,97.17314487632515,-39.4,14.099999999999998,1.3,21.1,41.1,11.4,PAK
351,2020-07-31,550.0,166.5,3.3033033033033,96.32224168126083,-42.149,11.8,9.7,25.4,43.1,19.6,PAK
352,2020-01-31,520.0,154.875,3.35754640839387,91.71075837742517,-40.784,9.4,12.4,19.3,44.1,19.4,PAK
353,2019-07-31,480.0,157.45,3.0485868529692,83.623693379791,-46.9,-3.0,0.5,14.8,29.3,10.0,PAK
354,2019-01-31,460.0,138.88,3.3122119815668,82.437275985663,-40.6,16.6,13.6,32.8,48.4,21.3,PAK
355,2018-07-31,375.0,121.49,3.0866738003128,68.058076225045,-44.0,6.7,1.5,16.5,38.8,10.8,PAK
356,2018-01-31,375.0,110.505,3.3935116058097,71.022727272727,-35.728946859665,18.569769040174,5.7983553286429,21.554616156016,54.568761899887,17.749822966362,PAK
357,2017-07-31,375.0,105.15,3.5663338088445,70.754716981132,-32.71068285199,21.468571961992,19.645825132933,41.120431976705,64.9983463491,34.322029484891,PAK
358,2017-01-31,375.0,104.775,3.579098067287,74.110671936759,-29.266836614881,30.273420964811,32.728427502257,58.910249662449,62.695503796946,39.294460853372,PAK
359,2016-07-31,375.0,104.82,3.5775615340584,74.404761904762,-29.016636229,28.979105569727,26.868434013775,48.554662463872,51.333686291288,41.072396121793,PAK
360,2016-01-31,300.0,104.885,2.860275539877,60.851926977688,-41.982240570446,5.8984078147002,14.563080626222,14.553335683082,41.514163606912,16.937855117529,PAK
361,2015-07-31,350.0,101.7,3.4414945919371,73.068893528184,-28.152513738266,23.620262022339,29.332068375202,21.994673137833,69.853069592143,36.323687793344,PAK
362,2015-01-31,300.0,100.735,2.9781108849953,62.630480167015,-37.826495094044,10.756861280988,9.2754759690068,7.4135384427379,48.04687403373,16.784460296068,PAK
363,2014-07-31,300.0,98.68,3.0401297122011,62.565172054223,-36.597920496328,12.019869679582,-5.3912140524393,-2.8650227019013,40.826191862599,19.66460807121,PAK
364,2014-01-31,320.0,105.415,3.0356211165394,69.201657956389,-34.353120565016,20.341411563716,3.2927595429889,9.235136091948,82.693438177561,18.9101041862,PAK
365,2013-07-31,300.0,100.035,2.9989503673714,65.837600585223,-34.185434512697,14.68666094851,3.8516066350791,18.809259465332,59.846919760989,22.614499450042,PAK
